taxonID	source	parentNameUsageID	scientificName	higherClassification	taxonRank
ICTV:20160476	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160476	ICTV:Che8virus	Mycobacterium virus Boomer	Viruses|Caudovirales|Siphoviridae|Che8virus	species
ICTV:20160477	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160477	ICTV:Che8virus	Mycobacterium virus Che8	Viruses|Caudovirales|Siphoviridae|Che8virus	species
ICTV:20160478	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160478	ICTV:Che8virus	Mycobacterium virus Che9d	Viruses|Caudovirales|Siphoviridae|Che8virus	species
ICTV:20160479	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160479	ICTV:Che8virus	Mycobacterium virus Deadp	Viruses|Caudovirales|Siphoviridae|Che8virus	species
ICTV:20160480	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160480	ICTV:Che8virus	Mycobacterium virus Dlane	Viruses|Caudovirales|Siphoviridae|Che8virus	species
ICTV:20160481	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160481	ICTV:Che8virus	Mycobacterium virus Dorothy	Viruses|Caudovirales|Siphoviridae|Che8virus	species
ICTV:20160482	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160482	ICTV:Che8virus	Mycobacterium virus Dotproduct	Viruses|Caudovirales|Siphoviridae|Che8virus	species
ICTV:20160483	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160483	ICTV:Che8virus	Mycobacterium virus Drago	Viruses|Caudovirales|Siphoviridae|Che8virus	species
ICTV:20160484	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160484	ICTV:Che8virus	Mycobacterium virus Fruitloop	Viruses|Caudovirales|Siphoviridae|Che8virus	species
ICTV:20160485	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160485	ICTV:Che8virus	Mycobacterium virus Gumbie	Viruses|Caudovirales|Siphoviridae|Che8virus	species
ICTV:20160486	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160486	ICTV:Che8virus	Mycobacterium virus Ibhubesi	Viruses|Caudovirales|Siphoviridae|Che8virus	species
ICTV:20160487	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160487	ICTV:Che8virus	Mycobacterium virus Llij	Viruses|Caudovirales|Siphoviridae|Che8virus	species
ICTV:20160488	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160488	ICTV:Che8virus	Mycobacterium virus Mozy	Viruses|Caudovirales|Siphoviridae|Che8virus	species
