id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	kingdom	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1207966	1207966	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489850	1207966	1207954	Boccharis	Distant, W.L. 1904. Fauna of British India, including Ceylon & Burma Rhynchota. Vol. II. (Heteroptera). Fauna of British India, including Ceylon & Burma Rhynchota. Vol. II. (Heteroptera). London: Taylor & Francis pp.	Animalia	genus	Distant, 1904	ICZN	valid			2016-11-08T15:20:00
1207967	1207967	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489852	1207967	1207966	Boccharis significatus	Distant, W.L. 1904. Fauna of British India, including Ceylon & Burma Rhynchota. Vol. II. (Heteroptera). Fauna of British India, including Ceylon & Burma Rhynchota. Vol. II. (Heteroptera). London: Taylor & Francis pp.	Animalia	species	Distant, 1904	ICZN	valid			2016-11-08T15:20:00
1207968	1207968	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489848	1207968	1207954	Thyrothanus	Scudder, G.G.E. 1957. New genera and species of Heterogastrinae (Hemiptera, Lygaeidae) with a revision of the genus Dinomachus. Opusc. Ent.	Animalia	genus	Scudder, 1957	ICZN	valid			2016-11-08T15:20:00
1207969	1207969	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489849	1207969	1207968	Thyrothanus niger	Scudder, G.G.E. 1957. New genera and species of Heterogastrinae (Hemiptera, Lygaeidae) with a revision of the genus Dinomachus. Opusc. Ent.	Animalia	species	Scudder, 1957	ICZN	valid			2016-11-08T15:20:00
1207970	1207970	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489840	1207970	1207954	Masoas	Distant, W.L. 1906. On some Ethiopian Rhynchota & synonymical notes. Ann. Mag. Nat. Hist.	Animalia	genus	Distant, 1906	ICZN	valid			2016-11-08T15:20:00
1207971	1207971	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489847	1207971	1207970	Masoas transvaaliensis	Distant, W.L. 1906. On some Ethiopian Rhynchota & synonymical notes. Ann. Mag. Nat. Hist.	Animalia	species	Distant, 1906	ICZN	valid			2016-11-08T15:20:00
1207972	1207972	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489838	1207972	1207954	Heteropynellus	Scudder, G.G.E. 1962. New Heterogastrinae (Hemiptera) with a key to the genera of the world. Opusc. Ent.	Animalia	genus	Scudder, 1962	ICZN	valid			2016-11-08T15:20:00
1207973	1207973	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489839	1207973	1207972	Heteropynellus tropicus	Scudder, G.G.E. 1962. New Heterogastrinae (Hemiptera) with a key to the genera of the world. Opusc. Ent.	Animalia	species	Scudder, 1962	ICZN	valid			2016-11-08T15:20:00
1207974	1207974	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489832	1207974	1207954	Artemidorus	Distant, W.L. 1903. On some underscribed Rhynchota. Ann. Mag. Nat. Hist.	Animalia	genus	Distant, 1903	ICZN	valid			2016-11-08T15:20:00
1207975	1207975	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489837	1207975	1207974	Artemidorus sobrinus	Distant, W.L. 1903. Rhynchotal notes. XVIII. Heteroptera. Ann. Mag. Nat. Hist.	Animalia	species	Distant, 1903	ICZN	valid			2016-11-08T15:20:00
1207976	1207976	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489836	1207976	1207974	Artemidorus myrmecodes	Bergroth, E. 1918. Studies in Philippine Heteroptera I. Philipp. J. Sci.	Animalia	species	Bergroth, 1918	ICZN	valid			2016-11-08T15:20:00
1207977	1207977	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489835	1207977	1207974	Artemidorus pressus	Distant, W.L. 1903. On some underscribed Rhynchota. Ann. Mag. Nat. Hist.	Animalia	species	Distant, 1903	ICZN	valid			2016-11-08T15:20:00
1207978	1207978	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489834	1207978	1207974	Artemidorus ornatus	Distant, W.L. 1903. Rhynchotal notes. XVIII. Heteroptera. Ann. Mag. Nat. Hist.	Animalia	species	Distant, 1903	ICZN	valid			2016-11-08T15:20:00
1207979	1207979	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489833	1207979	1207974	Artemidorus noctis	Distant, W.L. 1903. Report on the Rhynchota. Part I. Heteroptera. In: Annandale & Robertson Fascicles of Malayan Zoology. I:(	Animalia	species	Distant, 1903	ICZN	valid			2016-11-08T15:20:00
1207980	1207980	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:481462	1207980	1215251	Cholula	Distant, W.L. 1882. Insecta. Rhynchota. Hemiptera-Heteroptera. Vol. I. Biol. cent.-amer. London (v)-xx,	Animalia	genus	Distant, 1882	ICZN	valid			2016-11-08T15:20:00
1207981	1207981	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:481480	1207981	1207980	Cholula variegata	Distant, W.L. 1882. Insecta. Rhynchota. Hemiptera-Heteroptera. Vol. I. Biol. cent.-amer. London (v)-xx,	Animalia	species	Distant, 1882	ICZN	valid			2016-11-29T15:53:00
