uid	|	name	|	type	|	rank	|	
1188272	|	Spathocerini	|	synonym	|		|	
1188272	|	Syromastini	|	synonym	|		|	
1188272	|	Syromastides	|	synonym	|		|	
1188272	|	Syromastoidae	|	synonym	|		|	
1188272	|	Spathocériens	|	synonym	|		|	
1188272	|	Spathoceraria	|	synonym	|		|	
1188272	|	Atractini	|	synonym	|		|	
1188272	|	Atractaria	|	synonym	|		|	
1188272	|	Centroscelidae	|	synonym	|		|	
1188272	|	Centroscelini	|	synonym	|		|	
1188289	|	Coridus	|	synonym	|		|	
1188289	|	Mesocerus	|	synonym	|		|	
1188293	|	Cimex auriculatus	|	synonym	|		|	
1188293	|	Cimex rostratus	|	synonym	|		|	
1188293	|	Copium serratum	|	synonym	|		|	
1188293	|	Coreus fundator	|	synonym	|		|	
1188293	|	Syromastes longicornis	|	synonym	|		|	
1188293	|	Coreus marginatus inermis	|	synonym	|		|	
1188293	|	Syromastes marginatus syriacus	|	synonym	|		|	
